0.000000000000000000e+00 1.174924920298955744e-13 1.906990723564977498e-12 2.024483215594873350e-12
6.250000000000000000e-02 1.251918564790186456e-13 1.831079505747378955e-12 1.956271362226397575e-12
1.250000000000000000e-01 1.926659730147521662e-13 1.603278602207229491e-12 1.795944575221981606e-12
1.875000000000000000e-01 2.989289161818265446e-13 1.275956543145553693e-12 1.574885459327380439e-12
2.500000000000000000e-01 4.181139200412523248e-13 9.124257674379576180e-13 1.330539687479210145e-12
3.125000000000000000e-01 5.276290720693825102e-13 5.678933804998911227e-13 1.095522452569273835e-12
3.750000000000000000e-01 6.122507362599010271e-13 2.844980903995967746e-13 8.967488266594979027e-13
4.375000000000000000e-01 6.640994140387745805e-13 9.251631093287017868e-14 7.566157249716447465e-13
5.000000000000000000e-01 6.802745864698044164e-13 1.114993820324951235e-14 6.914245246730539177e-13
5.625000000000000000e-01 6.602056425782996524e-13 4.833947553772630284e-14 7.085451181160260941e-13
6.250000000000000000e-01 6.041586223039050975e-13 2.002808298369913429e-13 8.044394521408963395e-13
6.875000000000000000e-01 5.147758192604931855e-13 4.507915402785105017e-13 9.655673595390037881e-13
7.500000000000000000e-01 4.004994164748272828e-13 7.710538002908116453e-13 1.171553216765638979e-12
8.125000000000000000e-01 2.776678387343472747e-13 1.119365164313336150e-12 1.397033003047683627e-12
8.750000000000000000e-01 1.697711464125134677e-13 1.441012887777230094e-12 1.610784034189742981e-12
9.375000000000000000e-01 1.029343112797197869e-13 1.673404403338602970e-12 1.776338714618323262e-12
1.000000000000000000e+00 9.784595205453105526e-14 1.764376605430101707e-12 1.862222557484632270e-12
1.062500000000000000e+00 1.614519675623051163e-13 1.693036971491595922e-12 1.854488939053900685e-12
1.125000000000000000e+00 2.832715209988328001e-13 1.477436165912330275e-12 1.760707686911163277e-12
1.187500000000000000e+00 4.392408237670177016e-13 1.167064683275555651e-12 1.606305507042573403e-12
1.250000000000000000e+00 6.008055537396825372e-13 8.226930383383988839e-13 1.423498592078081118e-12
1.312500000000000000e+00 7.436577741764602259e-13 4.982962972350423676e-13 1.241954071411502594e-12
1.375000000000000000e+00 8.519260140530811847e-13 2.358307853983696020e-13 1.087756799451450787e-12
1.437500000000000000e+00 9.180422137082239657e-13 6.571519669480656262e-14 9.837574104030306671e-13
1.500000000000000000e+00 9.399306231684064145e-13 7.066832819910494244e-15 9.469974559883167376e-13
1.562500000000000000e+00 9.178203580091684262e-13 6.747627585486205895e-14 9.852966338640304094e-13
1.625000000000000000e+00 8.522212104392154867e-13 2.425922657226290465e-13 1.094813476161844887e-12
1.687500000000000000e+00 7.453027203099471402e-13 5.155698644659088414e-13 1.260872584775855679e-12
1.750000000000000000e+00 6.048379228455685020e-13 8.568445712539083532e-13 1.461682494099477057e-12
1.812500000000000000e+00 4.468711117227159673e-13 1.223766541601595429e-12 1.670637653324311750e-12
1.875000000000000000e+00 2.953194601732993558e-13 1.560273777725198361e-12 1.855593237898497515e-12
1.937500000000000000e+00 1.776712715913256098e-13 1.802210226685457825e-12 1.979881498276783157e-12
