#  Bands
0.000000000000000000000000000000e+00	-3.277417304463979275119811518380e-01	-3.243748763149037483977110696287e-01	3.243748763149034708419549133396e-01	3.277417304463978164896786893223e-01
2.430551911871645879431591552589e-03	-3.277278915555654759117487628828e-01	-3.243610187385911336477306576853e-01	3.243610187385913001811843514588e-01	3.277278915555656979563536879141e-01
4.861103823743291758863183105177e-03	-3.276863960447058965463895674475e-01	-3.243194673675641737098374051129e-01	3.243194673675638406429300175660e-01	3.276863960447060075686920299631e-01
7.291655735614938071975643651967e-03	-3.276172796583137203363378375798e-01	-3.242502582473658634398816502653e-01	3.242502582473659189510328815231e-01	3.276172796583138313586403000954e-01
9.722207647486583517726366210354e-03	-3.275205834445619745842748216091e-01	-3.241534327359901213050363821822e-01	3.241534327359900657938851509243e-01	3.275205834445615860062162028044e-01
1.215275955935822896347708876874e-02	-3.273963537131512890887563571596e-01	-3.240290374616281998676470266219e-01	3.240290374616280333341933328484e-01	3.273963537131508449995465070970e-01
1.458331147122987614395128730393e-02	-3.272446419911622661480521401245e-01	-3.238771242784167503359071815794e-01	3.238771242784164172689997940324e-01	3.272446419911614889919349025149e-01
1.701386338310151985497853388551e-02	-3.270655049769404243420467537362e-01	-3.236977502202256773422561764164e-01	3.236977502202256773422561764164e-01	3.270655049769398692305344411579e-01
1.944441529497316703545273242071e-02	-3.268590044920591797250608578906e-01	-3.234909774525196457517495218781e-01	3.234909774525194792182958281046e-01	3.268590044920587911470022390859e-01
2.187496720684481421592693095590e-02	-3.266252074313898412505352553126e-01	-3.232568732223289886817951810372e-01	3.232568732223287111260390247480e-01	3.266252074313893971613254052500e-01
2.430551911871645792695417753748e-02	-3.263641857113216970809332906356e-01	-3.229955098063736484981234298175e-01	3.229955098063738705427283548488e-01	3.263641857113217525920845218934e-01
2.673607103058810510742837607268e-02	-3.260760162161750463916121134389e-01	-3.227069644573765661021980122314e-01	3.227069644573765661021980122314e-01	3.260760162161751019027633446967e-01
2.916662294245975228790257460787e-02	-3.257607807428421486939384976722e-01	-3.223913193486077632954334148963e-01	3.223913193486077077842821836384e-01	3.257607807428417601158798788674e-01
3.159717485433139599892982118945e-02	-3.254185659437014987993563863711e-01	-3.220486615167027499850860294828e-01	3.220486615167029165185397232563e-01	3.254185659437016653328100801446e-01
3.402772676620303970995706777103e-02	-3.250494632678539996817335122614e-01	-3.216790828027999427085603656451e-01	3.216790828027999427085603656451e-01	3.250494632678541107040359747771e-01
3.645827867807469035987821825984e-02	-3.246535689007166713970775617781e-01	-3.212826797920373955719242076157e-01	3.212826797920375065942266701313e-01	3.246535689007166713970775617781e-01
3.888883058994633407090546484142e-02	-3.242309837020263540985354211443e-01	-3.208595537514609130624876343063e-01	3.208595537514608020401851717907e-01	3.242309837020261320539304961130e-01
4.131938250181797778193271142300e-02	-3.237818131422982026457191295776e-01	-3.204098105663836237866348710668e-01	3.204098105663835127643324085511e-01	3.237818131422983691791728233511e-01
4.374993441368962843185386191180e-02	-3.233061672377899875563400655665e-01	-3.199335606752514715722668370290e-01	3.199335606752516381057205308025e-01	3.233061672377896544894326780195e-01
4.618048632556127214288110849338e-02	-3.228041604840125589070964906568e-01	-3.194309190030590883679906255566e-01	3.194309190030587553010832380096e-01	3.228041604840125589070964906568e-01
4.861103823743291585390835507496e-02	-3.222759117878525314537796475634e-01	-3.189020048933671747093399062578e-01	3.189020048933671747093399062578e-01	3.222759117878526424760821100790e-01
5.104159014930456650382950556377e-02	-3.217215443983375000591706793784e-01	-3.183469420389741788568471747567e-01	3.183469420389741233456959434989e-01	3.217215443983373335257169856050e-01
5.347214206117621021485675214535e-02	-3.211411858361152282803629987029e-01	-3.177658584112909578855976633349e-01	3.177658584112912909525050508819e-01	3.211411858361152282803629987029e-01
5.590269397304785392588399872693e-02	-3.205349678216867226332453810755e-01	-3.171588861884750976116720266873e-01	3.171588861884748755670671016560e-01	3.205349678216864450774892247864e-01
5.833324588491950457580514921574e-02	-3.199030262024554205346760227258e-01	-3.165261616823742407689223909983e-01	3.165261616823742962800736222562e-01	3.199030262024555315569784852414e-01
6.076379779679114828683239579732e-02	-3.192455008786383996444158128725e-01	-3.158678252643361550333622744802e-01	3.158678252643361550333622744802e-01	3.192455008786380665775084253255e-01
6.319434970866279199785964237890e-02	-3.185625357281021141631072168821e-01	-3.151840212899408855129479434254e-01	3.151840212899408300017967121676e-01	3.185625357281021141631072168821e-01
6.562490162053444264778079286771e-02	-3.178542785301805562170329721994e-01	-3.144748980227080048521770549996e-01	3.144748980227081158744795175153e-01	3.178542785301804451947305096837e-01
6.805545353240607941991413554206e-02	-3.171208808885182528491952780314e-01	-3.137406075568391350394392702583e-01	3.137406075568393015728929640318e-01	3.171208808885189744941612843832e-01
7.048600544427773006983528603087e-02	-3.163624981530203661428402028832e-01	-3.129813057390519182021648703085e-01	3.129813057390521402467697953398e-01	3.163624981530206436985963591724e-01
7.291655735614938071975643651967e-02	-3.155792893409392618764286453370e-01	-3.121971520895630014535981899826e-01	3.121971520895628349201444962091e-01	3.155792893409388177872187952744e-01
7.534710926802101749188977919403e-02	-3.147714170571812020149593536189e-01	-3.113883097222798768122231649613e-01	3.113883097222802653902817837661e-01	3.147714170571814795707155099080e-01
7.777766117989266814181092968283e-02	-3.139390474138790687597122541774e-01	-3.105549452642600849472387380956e-01	3.105549452642605290364485881582e-01	3.139390474138794573377708729822e-01
8.020821309176431879173208017164e-02	-3.130823499492936257126984855859e-01	-3.096972287744984564383798897325e-01	3.096972287744985674606823522481e-01	3.130823499492939587796058731328e-01
